ZCTA,policeviolence_harmonicmean_pop,policeviolence_harmonicmean_black
3777,4.47E-06,0
3779,4.47E-06,0
3780,4.47E-06,0
3781,4.65E-06,0
3782,4.65E-06,0
3784,4.47E-06,0
3785,1.54E-05,0
3801,3.30E-06,0
3809,3.27E-06,0
3810,3.27E-06,0
3811,3.30E-06,0
3812,0,0
3813,0,0
3814,0,0
3816,0,0
3817,0,0
3818,0,0
3819,3.30E-06,0
3820,1.57E-06,0
3823,1.57E-06,0
3824,1.57E-06,0
3825,1.57E-06,0
3826,3.30E-06,0
3827,3.30E-06,0
3830,0,0
3832,0,0
3833,3.30E-06,0
3835,1.57E-06,0
3836,0,0
3837,3.27E-06,0
3838,0,0
3839,5.76E-06,0
3840,3.30E-06,0
3841,3.30E-06,0
3842,7.53E-06,0
3844,3.30E-06,0
3845,0,0
3846,0,0
3847,0,0
3848,3.30E-06,0
3849,0,0
3850,0,0
3851,1.57E-06,0
3852,1.57E-06,0
3853,0,0
3854,3.30E-06,0
3855,1.57E-06,0
3856,3.30E-06,0
3857,3.30E-06,0
3858,1.07E-05,0
3860,0,0
3861,1.57E-06,0
3862,3.30E-06,0
3864,0,0
3865,3.30E-06,0
3867,1.57E-06,0
3868,1.57E-06,0
3869,1.57E-06,0
3870,3.30E-06,0
3871,3.30E-06,0
3872,0,0
3873,3.30E-06,0
3874,9.18E-06,0
3875,0,0
3878,1.57E-06,0
3882,0,0
3883,0,0
3884,1.57E-06,0
3885,3.30E-06,0
3886,0,0
3887,1.14E-06,0
3890,0,0
3894,0,0
3901,1.98E-06,0
3902,1.98E-06,0
3903,1.98E-06,0
3904,1.98E-06,0
3905,1.98E-06,0
3906,1.98E-06,0
3907,1.98E-06,0
3908,1.98E-06,0
3909,1.98E-06,0
3910,1.98E-06,0
3911,1.98E-06,0
4001,1.98E-06,0
4002,1.98E-06,0
4003,2.07E-06,2.43E-05
4005,1.98E-06,0
4006,1.98E-06,0
4008,0,0
4009,2.07E-06,2.43E-05
4010,0,0
4011,2.07E-06,2.43E-05
4015,2.07E-06,2.43E-05
4017,2.07E-06,2.43E-05
4019,2.07E-06,2.43E-05
4020,1.98E-06,0
4021,2.07E-06,2.43E-05
4022,0,0
4024,2.07E-06,2.43E-05
4027,1.98E-06,0
4029,2.07E-06,2.43E-05
4030,1.98E-06,0
4032,2.07E-06,2.43E-05
4037,0,0
4038,5.41E-06,2.43E-05
4039,2.07E-06,2.43E-05
4040,1.73E-06,2.37E-05
4041,0,0
4042,1.98E-06,0
4043,1.98E-06,0
4046,6.44E-06,0
4047,1.98E-06,0
4048,7.28E-06,0
4049,1.98E-06,0
4050,2.07E-06,2.43E-05
4051,0,0
4055,7.40E-06,2.43E-05
4056,1.98E-06,0
4057,2.07E-06,2.43E-05
4061,1.98E-06,0
4062,2.07E-06,2.43E-05
4063,1.98E-06,0
4064,1.98E-06,0
4066,2.07E-06,2.43E-05
4068,0,0
4069,2.07E-06,2.43E-05
4071,2.07E-06,2.43E-05
4072,1.98E-06,0
4073,1.98E-06,0
4074,2.07E-06,2.43E-05
4076,1.98E-06,0
4079,2.07E-06,2.43E-05
4083,1.98E-06,0
4084,2.07E-06,2.43E-05
4085,2.07E-06,2.43E-05
4086,0,0
4087,1.98E-06,0
4088,0,0
4090,1.98E-06,0
4091,2.07E-06,2.43E-05
4092,2.07E-06,2.43E-05
4093,1.98E-06,0
4095,1.98E-06,0
4096,2.07E-06,2.43E-05
4097,2.07E-06,2.43E-05
4101,2.07E-06,2.43E-05
4102,5.35E-06,6.90E-05
4103,2.07E-06,2.43E-05
4105,2.07E-06,2.43E-05
4106,2.07E-06,2.43E-05
4107,2.07E-06,2.43E-05
4108,2.07E-06,2.43E-05
4109,2.07E-06,2.43E-05
4110,2.07E-06,2.43E-05
4210,6.52E-06,0
4216,0,0
4217,0,0
4219,0,0
4220,0,0
4221,0,0
4222,3.72E-06,0
4224,0,0
4226,0,0
4227,0,0
4228,3.72E-06,0
4231,0,0
4234,0,0
4236,3.72E-06,0
4237,0,0
4238,0,0
4239,0,0
4240,3.72E-06,0
4250,3.72E-06,0
4252,3.72E-06,0
4253,3.72E-06,0
4254,3.72E-06,0
4255,0,0
4256,3.72E-06,0
4257,0,0
4258,3.72E-06,0
4259,4.94E-06,0
4260,2.07E-06,2.43E-05
4261,0,0
4263,3.72E-06,0
4265,4.94E-06,0
4267,0,0
4268,0,0
4270,0,0
4271,0,0
4274,3.72E-06,0
4275,0,0
4276,0,0
4280,1.08E-05,0
4281,0,0
4282,3.72E-06,0
4284,4.94E-06,0
4285,0,0
4286,0,0
4287,0,0
4289,0,0
4290,0,0
4292,0,0
4294,0,0
4330,4.94E-06,0
4342,5.86E-06,0
4343,4.94E-06,0
4344,4.94E-06,0
4345,3.83E-06,0
4346,4.94E-06,0
4347,4.94E-06,0
4348,5.86E-06,0
4349,4.94E-06,0
4350,4.94E-06,0
4351,4.94E-06,0
4352,4.94E-06,0
4353,5.86E-06,0
4354,5.10E-06,0
4355,4.94E-06,0
4357,0,0
4358,4.94E-06,0
4359,4.94E-06,0
4360,4.94E-06,0
4363,4.94E-06,0
4364,4.94E-06,0
4401,4.33E-06,0
4406,0,0
4408,0,0
